,Salary,Gender
0,90000.0,Male
1,65000.0,Female
2,150000.0,Male
3,60000.0,Female
4,200000.0,Male
5,55000.0,Male
6,120000.0,Female
7,80000.0,Male
8,45000.0,Female
9,110000.0,Male
10,75000.0,Male
11,140000.0,Female
12,65000.0,Male
13,130000.0,Female
14,40000.0,Male
15,125000.0,Male
16,90000.0,Female
17,115000.0,Male
18,35000.0,Female
19,180000.0,Male
20,80000.0,Female
21,190000.0,Male
22,50000.0,Male
23,60000.0,Female
24,140000.0,Male
25,45000.0,Female
26,110000.0,Female
27,40000.0,Male
28,140000.0,Female
29,90000.0,Male
30,250000.0,Male
31,55000.0,Female
32,75000.0,Male
33,65000.0,Female
34,170000.0,Male
35,45000.0,Male
36,60000.0,Female
37,115000.0,Male
38,40000.0,Female
39,160000.0,Male
40,80000.0,Female
41,190000.0,Male
42,60000.0,Male
43,45000.0,Female
44,130000.0,Male
45,40000.0,Female
46,75000.0,Male
47,180000.0,Female
48,120000.0,Male
49,35000.0,Male
50,130000.0,Female
51,85000.0,Male
52,60000.0,Female
53,200000.0,Male
54,50000.0,Female
55,95000.0,Male
56,65000.0,Female
57,140000.0,Male
58,55000.0,Female
59,105000.0,Male
60,170000.0,Female
61,50000.0,Male
62,80000.0,Female
63,180000.0,Male
64,35000.0,Male
65,90000.0,Female
66,120000.0,Male
67,45000.0,Female
68,90000.0,Male
69,150000.0,Female
70,65000.0,Male
71,70000.0,Female
72,190000.0,Male
73,40000.0,Male
74,120000.0,Female
75,95000.0,Male
76,160000.0,Female
77,100000.0,Male
78,180000.0,Female
79,55000.0,Female
80,70000.0,Male
81,80000.0,Female
82,30000.0,Male
83,250000.0,Male
84,40000.0,Female
85,95000.0,Female
86,45000.0,Male
87,80000.0,Female
88,135000.0,Male
89,55000.0,Female
90,120000.0,Male
91,40000.0,Female
92,105000.0,Male
93,170000.0,Female
94,75000.0,Male
95,65000.0,Female
96,160000.0,Male
97,35000.0,Male
98,90000.0,Female
99,110000.0,Male
100,45000.0,Female
101,95000.0,Male
102,150000.0,Female
103,50000.0,Male
104,80000.0,Female
105,220000.0,Male
106,50000.0,Female
107,60000.0,Male
108,100000.0,Female
109,40000.0,Male
110,110000.0,Female
111,95000.0,Male
112,130000.0,Female
113,90000.0,Male
114,35000.0,Female
115,95000.0,Male
116,65000.0,Female
117,170000.0,Male
118,45000.0,Female
119,120000.0,Male
120,100000.0,Female
121,180000.0,Male
122,50000.0,Female
123,80000.0,Male
124,140000.0,Female
125,40000.0,Male
126,95000.0,Female
127,110000.0,Male
128,50000.0,Female
129,105000.0,Male
130,160000.0,Female
131,45000.0,Male
132,100000.0,Female
133,160000.0,Male
134,35000.0,Male
135,55000.0,Female
136,140000.0,Male
137,50000.0,Female
138,60000.0,Male
139,120000.0,Female
140,40000.0,Male
141,110000.0,Female
142,50000.0,Male
143,135000.0,Male
144,40000.0,Female
145,90000.0,Male
146,150000.0,Female
147,60000.0,Male
148,80000.0,Female
149,175000.0,Male
150,45000.0,Female
151,120000.0,Male
152,140000.0,Female
153,35000.0,Male
154,95000.0,Female
155,110000.0,Male
156,50000.0,Female
157,115000.0,Male
158,185000.0,Female
159,40000.0,Male
160,90000.0,Female
161,175000.0,Male
162,45000.0,Female
163,80000.0,Male
164,120000.0,Female
165,35000.0,Male
166,110000.0,Female
167,150000.0,Male
168,50000.0,Female
169,105000.0,Male
170,180000.0,Female
171,40000.0,Male
172,,
173,140000.0,Male
174,45000.0,Female
175,85000.0,Male
176,140000.0,Female
177,50000.0,Male
178,80000.0,Female
179,170000.0,Male
180,40000.0,Female
181,105000.0,Male
182,145000.0,Female
183,40000.0,Male
184,85000.0,Female
185,130000.0,Male
186,95000.0,Female
187,100000.0,Male
188,180000.0,Female
189,35000.0,Male
190,95000.0,Female
191,170000.0,Male
192,45000.0,Female
193,95000.0,Male
194,120000.0,Female
195,40000.0,Male
196,90000.0,Female
197,155000.0,Male
198,55000.0,Female
199,110000.0,Male
200,180000.0,Female
201,45000.0,Male
202,130000.0,Male
203,45000.0,Female
204,90000.0,Male
205,160000.0,Female
206,50000.0,Male
207,120000.0,Female
208,170000.0,Male
209,40000.0,Female
210,110000.0,Male
211,150000.0,Female
212,40000.0,Male
213,85000.0,Female
214,130000.0,Male
215,100000.0,Female
216,95000.0,Male
217,180000.0,Female
218,35000.0,Male
219,100000.0,Female
220,170000.0,Male
221,45000.0,Female
222,100000.0,Male
223,140000.0,Female
224,40000.0,Male
225,105000.0,Female
226,160000.0,Male
227,70000.0,Female
228,120000.0,Male
229,190000.0,Female
230,45000.0,Male
231,120000.0,Male
232,50000.0,Female
233,85000.0,Male
234,140000.0,Female
235,45000.0,Male
236,100000.0,Female
237,140000.0,Male
238,70000.0,Female
239,120000.0,Male
240,160000.0,Female
241,40000.0,Male
242,120000.0,Female
243,150000.0,Male
244,70000.0,Female
245,95000.0,Male
246,180000.0,Female
247,50000.0,Male
248,95000.0,Female
249,170000.0,Male
250,40000.0,Female
251,110000.0,Male
252,150000.0,Female
253,40000.0,Male
254,85000.0,Female
255,130000.0,Male
256,100000.0,Female
257,95000.0,Male
258,180000.0,Female
259,350.0,Male
260,,
261,120000.0,Female
262,160000.0,Male
263,50000.0,Female
264,110000.0,Male
265,40000.0,Female
266,95000.0,Male
267,140000.0,Female
268,60000.0,Male
269,110000.0,Female
270,150000.0,Male
271,60000.0,Female
272,90000.0,Male
273,180000.0,Female
274,40000.0,Male
275,120000.0,Female
276,160000.0,Male
277,70000.0,Female
278,95000.0,Male
279,180000.0,Female
280,50000.0,Male
281,95000.0,Female
282,170000.0,Male
283,35000.0,Female
284,100000.0,Male
285,150000.0,Female
286,60000.0,Male
287,85000.0,Female
288,130000.0,Male
289,65000.0,Male
290,110000.0,Female
291,180000.0,Male
292,40000.0,Female
293,90000.0,Male
294,140000.0,Female
295,60000.0,Male
296,130000.0,Female
297,160000.0,Male
298,40000.0,Female
299,100000.0,Male
300,180000.0,Female
301,55000.0,Male
302,120000.0,Female
303,150000.0,Male
304,70000.0,Female
305,95000.0,Male
306,180000.0,Female
307,50000.0,Male
